/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
713333333.3333329,-5.138991568944376e-05,1.402621326629404e-05,713333333.3333329,-1.776984686144272e-07,-6.62624648466318e-08,713333333.3333329,0.005,0,713333333.3333329,-7.512362071731406e-11,-7.690275650201019e-11
719999999.9999995,-5.046361450734632e-05,1.471139106616317e-05,719999999.9999995,-1.767130782864927e-07,-6.067991319020338e-08,719999999.9999995,0.005,0,719999999.9999995,-7.600754229796071e-11,-7.204546446920001e-11
726666666.6666662,-4.954714805797137e-05,1.536903129972623e-05,726666666.6666662,-1.756143488703255e-07,-5.525938395097839e-08,726666666.6666662,0.005,0,726666666.6666662,-7.667609633247467e-11,-6.733041778032165e-11
733333333.3333328,-4.864064688258777e-05,1.600007515195349e-05,733333333.3333328,-1.744103839904501e-07,-4.999809095678052e-08,733333333.3333328,0.005,0,733333333.3333328,-7.714459747590101e-11,-6.275956784810208e-11
739999999.9999994,-4.774422199826467e-05,1.660543181188478e-05,739999999.9999994,-1.731088473868204e-07,-4.489316006056978e-08,739999999.9999994,0.005,0,739999999.9999994,-7.742760927956688e-11,-5.833414390881627e-11
746666666.666666,-4.685796626772491e-05,1.718597954938258e-05,746666666.666666,-1.717169847942292e-07,-3.994164620210717e-08,746666666.666666,0.005,0,746666666.666666,-7.753896144844284e-11,-5.405472956198756e-11
753333333.3333327,-4.598195568152036e-05,1.774256675987033e-05,753333333.3333327,-1.702416449073923e-07,-3.5140548712507e-08,753333333.3333327,0.005,0,753333333.3333327,-7.749176913792547e-11,-4.992133310773686e-11
759999999.9999993,-4.511625055824758e-05,1.827601297692092e-05,759999999.9999993,-1.686892994424617e-07,-3.048682502164733e-08,759999999.9999993,0.005,0,759999999.9999993,-7.729845385312622e-11,-4.593345208624713e-11
766666666.6666659,-4.426089666806713e-05,1.878710985386365e-05,766666666.6666659,-1.670660623115958e-07,-2.5977402912524e-08,766666666.6666659,0.005,0,766666666.6666659,-7.697076557186386e-11,-4.209013240868482e-11
773333333.3333325,-4.341592628426133e-05,1.927662211439004e-05,773333333.3333325,-1.653777079290995e-07,-2.160919145663686e-08,773333333.3333325,0.005,0,773333333.3333325,-7.651980576180945e-11,-3.839002245165192e-11
