/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y,/vout X,/vout Y
7.605346639320232e-08,5,7.605346639320232e-08,5,7.605346639320232e-08,4.732668033988362,7.605346639320232e-08,4.732668033988324,7.605346639320232e-08,4.950659988867238
7.615645831746042e-08,5,7.615645831746042e-08,5,7.615645831746042e-08,4.217708412697876,7.615645831746042e-08,4.217708412697904,7.615645831746042e-08,4.854243805998917
7.624734839434295e-08,5,7.624734839434295e-08,5,7.624734839434295e-08,3.763258028285231,7.624734839434295e-08,3.76325802828526,7.624734839434295e-08,4.768338067363893
7.642482141009478e-08,5,7.642482141009478e-08,5,7.642482141009478e-08,2.875892949526069,7.642482141009478e-08,2.875892949526098,7.642482141009478e-08,4.599143667840267
7.668610316922456e-08,5,7.668610316922456e-08,5,7.668610316922456e-08,1.569484153877175,7.668610316922456e-08,1.569484153877137,7.668610316922456e-08,4.345201249740939
7.699999999999999e-08,5,7.699999999999999e-08,5,7.699999999999999e-08,4.618527782440651e-14,7.699999999999999e-08,8.881784197001252e-15,7.699999999999999e-08,4.035077533244835
7.709005850868506e-08,5,7.709005850868506e-08,5,7.709005850868506e-08,0,7.709005850868506e-08,0,7.709005850868506e-08,4.034419737099554
7.723797811221919e-08,5,7.723797811221919e-08,5,7.723797811221919e-08,0,7.723797811221919e-08,0,7.723797811221919e-08,4.034377619189976
7.737736852181076e-08,5,7.737736852181076e-08,5,7.737736852181076e-08,0,7.737736852181076e-08,0,7.737736852181076e-08,4.034391935819426
7.765614934099389e-08,5,7.765614934099389e-08,5,7.765614934099389e-08,0,7.765614934099389e-08,0,7.765614934099389e-08,4.034377836042363
7.809522031588158e-08,5,7.809522031588158e-08,5,7.809522031588158e-08,0,7.809522031588158e-08,0,7.809522031588158e-08,4.034391775174709
7.887572787058899e-08,5,7.887572787058899e-08,5,7.887572787058899e-08,0,7.887572787058899e-08,0,7.887572787058899e-08,4.034377916155861
8.006286393529449e-08,5,8.006286393529449e-08,5,8.006286393529449e-08,0,8.006286393529449e-08,0,8.006286393529449e-08,4.03439172580785
8.125e-08,5,8.125e-08,5,8.125e-08,0,8.125e-08,0,8.125e-08,4.034377950958888
8.158624011756812e-08,5,8.158624011756812e-08,5,8.158624011756812e-08,0,8.158624011756812e-08,1.681200587840638,8.158624011756812e-08,4.145183008166443
8.191812005878405e-08,5,8.191812005878405e-08,5,8.191812005878405e-08,0,8.191812005878405e-08,3.340600293920308,8.191812005878405e-08,4.254579298582959
8.224999999999999e-08,5,8.224999999999999e-08,5,8.224999999999999e-08,0,8.224999999999999e-08,4.999999999999979,8.224999999999999e-08,4.363448504568206
8.247702898751735e-08,5,8.247702898751735e-08,5,8.247702898751735e-08,0,8.247702898751735e-08,5,8.247702898751735e-08,4.363674899501634
8.273949345657614e-08,5,8.273949345657614e-08,5,8.273949345657614e-08,0,8.273949345657614e-08,5,8.273949345657614e-08,4.363659032269909
8.299495571477236e-08,5,8.299495571477236e-08,5,8.299495571477236e-08,0,8.299495571477236e-08,5,8.299495571477236e-08,4.363678945856371
