/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag
939999999.9999982,0.0005278635655764465,0.00062014993635868,939999999.9999982,-2.463919276439926e-07,-1.823117752270495e-07,939999999.9999982,0.025,0
946666666.6666648,0.0005272950215025084,0.0005993330369706651,946666666.6666648,-2.441271633666072e-07,-1.710289877738012e-07,946666666.6666648,0.025,0
953333333.3333315,0.0005263468250442114,0.0005790524766303236,953333333.3333315,-2.416429728533377e-07,-1.60183032337472e-07,953333333.3333315,0.025,0
959999999.9999981,0.0005250407686806181,0.0005593002675007234,959999999.9999981,-2.389594060366557e-07,-1.497632390545731e-07,959999999.9999981,0.025,0
966666666.6666647,0.0005233977552187984,0.0005400682219489001,966666666.6666647,-2.36095375073254e-07,-1.397588374769166e-07,966666666.6666647,0.025,0
973333333.3333313,0.0005214378258396563,0.0005213479799691388,973333333.3333313,-2.330687039958298e-07,-1.301589932853864e-07,973333333.3333313,0.025,0
979999999.999998,0.0005191801876845758,0.000503131034847762,979999999.999998,-2.298961769571764e-07,-1.209528417294526e-07,979999999.999998,0.025,0
986666666.6666646,0.0005166432409681311,0.0004854087571522926,986666666.6666646,-2.265935850468114e-07,-1.121295180085027e-07,986666666.6666646,0.025,0
993333333.3333312,0.000513844605584685,0.0004681724171310155,993333333.3333312,-2.23175771661473e-07,-1.03678184801566e-07,993333333.3333312,0.025,0
1000000000,0.0005108011471988939,0.0004514132055971212,1000000000,-2.196566764222838e-07,-9.558805713777289e-08,1000000000,0.025,0
